Latitude	1	2	3	4	5	6	7	8	9	10	11	12
-90	0.301642857142857	0.284714285714286	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.201950000000000	0.278614285714286	0.324885714285714
-85	0.305014285714286	0.289771428571429	0.203450000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.213814285714286	0.286635714285714	0.327135714285714
-80	0.307364285714286	0.292914285714286	0.290207142857143	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.226007142857143	0.233650000000000	0.299100000000000	0.329100000000000
-75	0.312721428571429	0.299685714285714	0.296964285714286	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.244885714285714	0.266014285714286	0.319771428571429	0.333242857142857
-70	0.319971428571429	0.309478571428571	0.302985714285714	0.300114285714286	0.000000000000000	0.000000000000000	0.000000000000000	0.290307142857143	0.278200000000000	0.308164285714286	0.343064285714286	0.338507142857143
-65	0.326621428571429	0.314885714285714	0.306028571428571	0.306392857142857	0.285371428571429	0.000000000000000	0.000000000000000	0.314250000000000	0.319364285714286	0.346478571428571	0.358342857142857	0.340878571428572
-60	0.328835714285714	0.314878571428571	0.304578571428571	0.307185714285714	0.311392857142857	0.295335714285714	0.325207142857143	0.333592857142857	0.350085714285714	0.368214285714286	0.361535714285714	0.340000000000000
-55	0.323835714285714	0.309050000000000	0.298721428571429	0.302035714285714	0.311121428571429	0.295414285714286	0.327328571428571	0.343385714285714	0.360607142857143	0.370671428571429	0.354392857142857	0.333814285714286
-50	0.313085714285714	0.300057142857143	0.290635714285714	0.292957142857143	0.306471428571429	0.293842857142857	0.328678571428571	0.345442857142857	0.359835714285714	0.362778571428571	0.342357142857143	0.322585714285714
-45	0.300864285714286	0.291242857142857	0.284128571428571	0.284357142857143	0.297935714285714	0.288814285714286	0.325707142857143	0.341578571428571	0.352221428571429	0.350892857142857	0.329664285714286	0.310128571428571
